date,prcp_era,prcp_mswep,prcp_gsmap,prcp_chirps,t_mean,t_min,t_max,dew_mean,wind_speed,vp1,vp2,srad
2005-10-01,0.0063650383692932,0.0003556187766714,,0.0,5.046075588120459,-1.5656762074485189,11.415142620747416,-5.046048314694247,1.1645689785502749,424.8104454225405,419.7058861168746,297.1510016948434
2005-10-02,0.0021389041648944,0.0056899004267425,,0.0274054779653446,6.975995321110361,0.1212681795007597,13.18070324808059,-6.82885428317087,2.1577309905174338,370.7936747931829,366.1561586161562,296.41171919175434
2005-10-03,0.0015236908940219,0.0026671408250355,,0.0293195239047894,8.012961709607794,0.9292584692227592,13.291223075804965,-6.1128335869357215,0.5394374671998584,391.7055323153134,386.8869294811455,294.8035941290456
2005-10-04,0.0018820712099554,8.89046941678521e-05,,0.0,4.666301452544815,-1.6125929436178694,10.04048958481468,-4.506629219579224,2.1965467896714355,442.4789056075788,437.22194627698417,288.20937246174725
2005-10-05,7.550219595465388e-06,8.89046941678521e-05,,0.0,4.114495139747476,-2.1914959336470474,10.387783146974414,-6.439799620481949,0.6605614451794793,382.0294775035138,377.2946094594744,298.1617462368657
2005-10-06,0.0140953630682337,0.0608108108108108,,0.0,6.901395453137525,-0.8930561969453947,13.142057265057645,-7.342371732787853,1.86890609324651,356.4143198205586,351.90161769625064,293.4512585907508
2005-10-07,0.5041335048902843,0.325480085348506,,0.0017750340293866,7.989345320898451,3.3096810973593165,13.298571963693348,-4.686912016935708,1.3067880907382616,436.5024506579407,431.2970304123341,209.43229057903704
2005-10-08,6.6548152284503,3.40976173541963,,2.338861846297235,5.210810697338729,1.91787781012556,9.113592684460912,1.159224743765492,0.6261003242328386,671.5321495441707,664.2937428232152,107.5433679277904
2005-10-09,12.5633915696108,9.02578236130868,,5.249307850202911,3.904384927235128,-0.9305616260779176,8.18390891483915,1.2163003718621326,1.162093259941695,674.293764084888,667.0312929136918,165.0185318228185
2005-10-10,3.1295339069044,2.08001422475107,,1.4497988292478332,-3.638966371648564,-7.744476461404986,-0.3714326048589669,-6.942416340862678,2.4101962001801294,367.5699984867478,362.96044051489554,106.5950579834634
2005-10-11,0.3902465453007484,0.09975106685633,,0.0,-7.384427834143139,-13.796206304119266,-2.375737487376,-12.50198873119956,1.7525761804643134,237.2217613476511,233.7635774430656,148.98516035712697
2005-10-12,0.0044076668814,0.0,,0.0,-7.102110285682954,-14.02443303065104,-0.2376117459270972,-14.826254943991271,1.3368180451698786,196.30341314309828,193.2239428775185,183.81094318871016
2005-10-13,0.0004425708597188,0.0,,0.0,-3.891594759319276,-11.142252228840675,2.646017381311537,-12.287716436352753,1.060603286229047,241.3529366649108,237.8572155437992,185.13755934150728
2005-10-14,0.0027227993537017,0.0,,0.0,-1.3601033863520229,-8.05662555467876,5.58861694903726,-8.392651694690244,0.9134052473149992,328.54188996832823,324.2720571034632,182.2616052607109
2005-10-15,0.0024945220655038,0.0001778093883357,,0.0,-0.2212720603819207,-6.383330821302195,7.121734964128507,-6.277540134001583,0.6894020509046349,386.8043674215489,382.028167500927,186.22522717320177
2005-10-16,0.0010165912617239,0.0,,0.0,-0.0897110243673751,-6.405903199825104,7.385186261579008,-6.167566157678152,0.7464605305281363,390.0707601981316,385.2662983904781,190.4772364901041
2005-10-17,0.0001797103542864,0.0,,0.0,0.7984886431290192,-5.894885913544158,8.233042611539076,-6.306709253845725,0.8007887117263086,385.9420965421107,381.1733588987681,193.7908977737952
2005-10-18,0.6984560687012589,0.243598862019915,,0.143351664200325,1.876192670714716,-4.547186809108837,6.642709978614846,-3.4319782369506697,0.0865361214805597,479.6377681285217,474.0604791142537,154.34840196700344
2005-10-19,1.3457777474007,0.259157183499289,,0.0,-0.0233821126267343,-6.894968627519631,5.710294807787648,-3.777709238618172,0.637335961505306,467.3915680905988,461.9198391922242,145.13158624330734
2005-10-20,0.0019676004444861,0.0012446657183499,,0.0,-0.2535457038645177,-7.367712450732029,6.917173776581137,-7.4394187688412785,2.4044793522068204,353.7533505012706,349.2637776325035,190.641267430889
2005-10-21,0.0012984779364116,0.0001778093883357,,0.0,1.7845903700199417,-3.662834464758191,8.6752788341592,-8.682727670617965,2.8836105185008387,321.1944624814199,316.9889080446595,194.6498915654588
2005-10-22,0.0050974468995616,0.0121799431009957,,0.0,2.4527082275092766,-3.34704506346651,9.70272704000223,-8.956498311820837,2.41235474529214,314.3947877180742,310.2488331374304,196.3507660600648
2005-10-23,1.5369165433967,0.870288051209104,,2.633719436329037,4.274318236737145,-2.340970330903985,10.425647860252525,-5.841172118912311,0.2831392864489441,399.9102134599365,395.0206720182065,187.84962739894263
2005-10-24,1.1725906264675,0.669185633001422,,0.0530427245075356,-1.0430267613064643,-5.558639884405636,2.3504743588549104,-5.227197380635175,2.487526895639649,419.0193504095039,413.9647681745511,145.00026215119962
2005-10-25,0.0478234435810167,0.010846372688478,,0.0,-4.188365726244172,-9.602816978979092,1.3295842679279417,-9.442743474436211,1.1573636646863217,302.6336862143722,298.5911055180941,165.87554430239214
2005-10-26,0.0006385212121745,0.0,,0.0,-3.800038435196882,-9.8968227347915,2.82748576503974,-10.99481189038113,1.979521758496403,267.6731573958824,263.9405385918331,181.2971257933145
